protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,f_value,p_value,q_value,significant
sll7086,912456.0759360001,1031962.7850700001,847650.175008,782739.014527,306339.123691,342984.323023,279135.624484,206156.255863,315715.614464,344550.704395,539105.778481,164041.42520599999,251098.399853,369968.589045,215560.124367,321689.73396,115848.410962,255451.388894,237174.709169,248723.717752,32.30298312546326,3.2793444603769157e-07,9.235042181873358e-06,Yes
slr1854,2015502.3926169998,1819782.8256700002,1185537.291652,1345011.139842,1241550.830336,1223756.912363,890065.9671273001,636879.071736,3756516.2611864996,4050115.853867,2978678.886209,5393871.5754,3183769.515018,4701692.36176,3758491.9913800005,3864687.6403699997,5148935.76377,4950674.81975,4754792.9689,6045599.43075,32.275496849075736,3.2979020185162744e-07,9.235042181873358e-06,Yes
slr1265,10987767.5794319,14574215.438659698,9986831.03791595,11589053.426214399,12559885.0507603,11523020.400403399,9594454.47489392,8754315.87232541,25857721.6913326,29012907.0023362,20346667.1378292,30580664.378195696,22075707.021383397,33504161.5565704,30968543.4058776,28987348.6462741,42158760.4178932,34453919.9172466,51278684.96158571,38290157.1524599,32.224585390867624,3.332590467251599e-07,9.235042181873358e-06,Yes
sll1196,667677.331156,850595.283026,595101.021888,654374.719843,504739.65213500004,407326.771122,408107.657433,242296.628523,495903.020103,538550.784592,554423.235012,534298.8670270001,285045.041411,414796.446596,388771.039421,355140.00085,113723.60867,129857.43836500001,134031.974613,105125.643272,32.161351326015556,3.3762519804698294e-07,9.235042181873358e-06,Yes
slr1658,8310414.10508,9522561.240910001,7480036.42533,7125124.66,7373611.74405,6859634.01481,6561475.137,6686488.3998300005,6867610.7351400005,4575686.810880001,6719291.03876,4078584.95225,5605693.361169999,3746517.91819,3767991.59818,4052550.70219,1587709.94089,1226434.24333,1669493.43119,1026066.52731,31.833462522076925,3.6133087953776944e-07,9.6933957106767e-06,Yes
sll1252,775766.845846,890852.5161819999,626107.139979,755194.3579449999,692282.035648,561532.87112,543894.554973,418271.63053200004,1259397.173954,1185425.3409469998,1028225.346686,1146271.50366,1167944.774124,1182041.674432,1071910.394148,1138581.842595,1288410.757574,1230642.0124370002,1079329.9632879999,1039730.715182,31.28002984055431,4.0575026896459504e-07,1.0679653305766228e-05,Yes
slr1362,217610.953139,300221.909857,200586.757292,237457.075956,248293.28294499998,178932.455012,221037.053033,235287.98579200002,973428.94952,699368.593395,573013.176801,710893.361277,863670.603042,1075191.13486,773116.334945,939825.128173,1338776.59715,783984.142472,1262815.6036399999,1184250.3496299998,30.992367439972305,4.3126260656242346e-07,1.1140950669529272e-05,Yes
sll1740,25002007.988526,16828705.130648002,17142047.437998,17324229.879470002,8696866.429146001,19768495.748699,16327944.619029999,18213666.426229,2029665.1718380002,1235752.364279,5509251.54053,1150418.709399,5453873.239353,1187598.175665,897385.430173,1220818.006183,658294.5263389,578768.509554,1619767.093061,561326.006272,30.400525734346868,4.896817575805445e-07,1.2263543018600393e-05,Yes
slr2001,1930040.58601235,1354927.25945584,1396947.65384133,1545541.27452235,1989131.1891987,1650145.47532107,1868730.9000253002,875942.4177937229,3489603.33039419,3761155.5846686005,2980979.33072466,4105876.25092001,3113128.19738693,3704579.72795011,3137591.3724742,3029971.41368293,4077214.58836086,3286902.12084464,4167653.41267964,3758204.86202126,30.375901318079205,4.922999347968616e-07,1.2263543018600393e-05,Yes
slr1744,3703527.48710957,6191775.92046492,5671717.17407447,6334478.150763901,7448112.17821972,7402892.28400978,6290373.97487786,11182143.612310901,20546438.900185198,15750316.0777646,16699605.4244634,15488599.678253302,23213106.6364409,19194832.877749104,20589013.9942393,22462624.622729503,27299032.6155728,36542779.3566676,20665869.909575302,27370707.926044103,30.216659465126288,5.096192368632595e-07,1.2472260270600824e-05,Yes
slr0649,1055407.06774281,2516334.8397457,2156230.87328122,2135790.45095502,1263927.29841602,2285282.81456834,1239018.17593316,3762830.83230827,3468391.44736915,3674613.00146396,3358464.49820017,5309906.14335176,3846773.53369929,4774669.68007831,5012910.8078627,4734107.32902784,7121146.41732997,7661919.14103726,6937324.60521027,8818805.26023493,29.1722788570979,6.419163835046141e-07,1.5439195775671322e-05,Yes
sll0634,463506.77868100005,412914.621092,399579.193172,638260.006862,286994.7098831,431837.92827299994,386639.720959,1119192.447412,2217513.49639,1963371.37397,1605068.6471809999,2386789.603713,1399753.018524,1922705.619314,2086453.10709,1729808.1186290001,2208084.461189,1603771.788001,2085323.1290330002,2015007.1239439999,28.645730660974607,7.231108060649194e-07,1.709728092306038e-05,Yes
sll0639,387975.820742,365312.721479,302365.094,317849.67895100004,361731.34481,274649.668892,304975.778826,302334.903254,589662.114507,643352.370804,459836.121929,735688.4482239999,510209.449553,735351.463579,589944.985912,629182.174913,1243621.32876,952430.5898770001,1654926.38514,1299055.98596,28.538549409441323,7.410289318239401e-07,1.7228922664906607e-05,Yes
slr1666,1242626.83898544,2426982.37297641,1835453.81757754,2036965.71437265,1232600.11961122,2052706.00700374,1382031.69743188,1286424.77185395,6062723.87112496,6165689.65546893,4332283.03675875,5319496.32949371,3948882.00075757,5203529.35225276,4538579.88531412,4196445.66696722,3661645.66876689,3930414.33583011,2543339.88798298,2402225.57575221,28.448821934359728,7.564166877778736e-07,1.729838163033006e-05,Yes
ssl2874,6520187.860169999,7853948.738760001,7349306.11935,6893720.5522300005,6645055.93798,6124925.2834,5933510.03304,4971158.90139,16291004.8047,11828870.5406,15401029.3046,12659402.7759,19123505.282,14770837.3537,17960595.8696,16966618.0159,21919565.2222,21848776.9051,13412490.6835,19480828.9817,28.358863865980975,7.722084497825761e-07,1.7374690120107965e-05,Yes
sll0861,1063561.93065839,1648181.39432321,1012315.6951605,741094.5359668391,985744.1390588409,780171.482927107,839111.27030682,379807.176355872,1476167.49004853,1419223.67888955,1358108.48459048,1776379.5230371002,1292104.12643131,1926347.46741625,1457012.27165367,1570571.58086947,2903955.58189656,2331959.23063828,3115367.43900236,3102939.26325857,28.171345174491286,8.063424072532206e-07,1.78547247320356e-05,Yes
slr1022,1173181.06638347,2661309.48287466,1803079.36653366,1785974.03860679,2191607.60351849,1564393.92229662,1779044.5033983998,1855821.4969615003,5052107.39841867,3880771.82824056,3937633.07963646,5110879.06328997,4000287.40883243,4895345.90574176,4289552.58211411,4289319.76247405,4638867.15480972,3951349.11455998,3409602.51631666,4331188.91697237,27.85694104090431,8.674810884787221e-07,1.8908376850434646e-05,Yes
slr0443,616745.268909,843564.1763691,1161226.713359,619055.174003,1080493.794924,1071503.4163239999,991448.243976,2153245.25887,3894063.56164,3826162.3422300005,2436250.529759,5324671.85095,2432283.7738900003,4791428.15982,3411086.59124,3268850.7037400003,6602418.42536,5286585.82861,5534599.82971,6287238.521269999,27.590743267724196,9.233732605950165e-07,1.9588126183521293e-05,Yes
sll1789,13141857.303532,13200242.712870501,9794079.13867382,11720715.5821843,12856450.4272479,10620414.922102802,9882868.17235251,5893116.92315362,24733304.652660802,25868768.411208604,18622629.5594423,28349962.7149862,19138471.8903425,30399720.0860704,24706686.3392619,24126584.591924,39256701.8051129,28644033.607998602,41392034.2138589,34074182.5893531,27.57524916025895,9.267500559945558e-07,1.9588126183521293e-05,Yes
ssl3441,3563622.8878599997,3280487.5532400003,2710243.69697,3115537.21747,3587684.4669699995,3120847.7458200003,2790779.8678200003,3705451.75849,5397107.24685,3811009.03381,4866609.13195,4105476.6530699995,6276336.6097099995,5639680.5768099995,5309813.59721,5967634.36372,11369739.9079,9030039.30875,7311837.600769999,11985219.9633,27.175587212274326,1.0188813251088766e-06,2.121402161980422e-05,Yes
sll1258,1321031.2997,768678.240045,487956.306324,2008388.5863700002,657454.347576,321281.351108,610494.5079689999,563748.978937,2747977.41616,2328088.4788900004,2440947.44393,2651221.87568,2268079.07663,2585088.72042,2491570.28633,2555642.39444,1427555.79819,1329503.2209,981326.51588,1374851.4372399999,27.080777365040678,1.042232608946745e-06,2.1381095433539845e-05,Yes
slr2136,3444350.72952781,2878584.10188407,2343695.23477192,2677179.05007248,2692843.91514456,2653986.495118,3208859.19845352,1687464.73399487,673138.279665168,389307.775074803,1162291.87275373,414854.200893044,1292591.5727315,339171.201808572,378071.761542328,375461.24469405,416585.32358341705,851322.8760946109,427877.17119792604,491313.707842016,26.541030256826627,1.1873028721183801e-06,2.4004166762393336e-05,Yes
